Date,High,Low,Open,Close,Volume,Adj Close
2017-06-16,616.0,594.0,616.0,594.0,30,594.0
2017-06-19,6310.31982421875,6310.31982421875,6310.31982421875,6310.31982421875,0,6310.31982421875
2017-06-20,599.0,599.0,599.0,599.0,500,599.0
2017-06-21,6266.7099609375,6266.7099609375,6266.7099609375,6266.7099609375,0,6266.7099609375
2017-06-22,600.0,600.0,600.0,600.0,10,600.0
2017-06-23,6415.68017578125,6415.68017578125,6415.68017578125,6415.68017578125,0,6415.68017578125
2017-06-26,623.0,620.0,620.0,623.0,1010,623.0
2017-06-27,646.0,630.0,640.0,644.0,680,644.0
2017-06-28,706.0,639.0,684.0,639.0,4600,639.0
2017-06-29,652.0,643.0,643.0,648.0,1270,648.0
2017-06-30,658.0,639.0,658.0,643.0,110,643.0
2017-07-03,640.0,639.0,640.0,639.0,120,639.0
2017-07-04,645.0,645.0,645.0,645.0,30,645.0
2017-07-05,647.0,640.0,641.0,647.0,910,647.0
2017-07-06,647.0,640.0,646.0,647.0,130,647.0
2017-07-07,653.0,653.0,653.0,653.0,300,653.0
2017-07-10,663.0,660.0,663.0,660.0,1190,660.0
2017-07-11,662.0,662.0,662.0,662.0,80,662.0
2017-07-12,661.0,657.0,661.0,657.0,290,657.0
2017-07-13,672.0,661.0,664.0,669.0,560,669.0
2017-07-14,671.0,670.0,671.0,670.0,180,670.0
2017-07-17,6758.47998046875,6758.47998046875,6758.47998046875,6758.47998046875,0,6758.47998046875
2017-07-18,670.0,670.0,670.0,670.0,100,670.0
2017-07-19,671.0,671.0,671.0,671.0,10,671.0
2017-07-20,6733.330078125,6733.330078125,6733.330078125,6733.330078125,0,6733.330078125
2017-07-21,671.0,671.0,671.0,671.0,150,671.0
2017-07-24,676.0,669.0,676.0,676.0,1590,676.0
2017-07-25,6768.830078125,6768.830078125,6768.830078125,6768.830078125,0,6768.830078125
2017-07-26,680.0,664.0,680.0,664.0,440,664.0
2017-07-27,663.0,661.0,661.0,663.0,1000,663.0
2017-07-28,663.0,645.0,663.0,647.0,1530,647.0
2017-07-31,657.0,635.0,657.0,639.0,2500,639.0
2017-08-01,629.0,629.0,629.0,629.0,500,629.0
2017-08-02,653.0,653.0,653.0,653.0,510,653.0
2017-08-03,653.0,632.0,653.0,632.0,110,632.0
2017-08-04,639.0,639.0,639.0,639.0,1250,639.0
2017-08-07,639.0,639.0,639.0,639.0,0,639.0
2017-08-08,639.0,639.0,639.0,639.0,0,639.0
2017-08-09,637.0,621.0,637.0,621.0,440,621.0
2017-08-10,615.0,604.0,615.0,611.0,340,611.0
2017-08-11,611.0,611.0,611.0,611.0,0,611.0
2017-08-14,611.0,611.0,611.0,611.0,0,611.0
2017-08-15,608.0,608.0,608.0,608.0,10,608.0
2017-08-16,620.0,620.0,620.0,620.0,140,620.0
2017-08-17,621.0,620.0,620.0,620.0,160,620.0
2017-08-18,620.0,620.0,620.0,620.0,0,620.0
2017-08-21,640.0,592.0,613.0,602.0,1890,602.0
2017-08-22,602.0,602.0,602.0,602.0,150,602.0
2017-08-23,623.0,621.0,623.0,621.0,330,621.0
2017-08-24,631.0,628.0,631.0,628.0,100,628.0
2017-08-25,629.0,629.0,629.0,629.0,20,629.0
2017-08-28,629.0,629.0,629.0,629.0,0,629.0
2017-08-29,628.0,608.0,619.0,612.0,580,612.0
2017-08-30,621.0,621.0,621.0,621.0,500,621.0
2017-08-31,626.0,626.0,626.0,626.0,30,626.0
2017-09-01,626.0,626.0,626.0,626.0,0,626.0
2017-09-04,626.0,626.0,626.0,626.0,0,626.0
2017-09-05,603.0,603.0,603.0,603.0,220,603.0
2017-09-06,597.0,595.0,597.0,595.0,760,595.0
2017-09-07,616.0,610.0,610.0,616.0,1080,616.0
2017-09-08,617.0,608.0,608.0,616.0,160,616.0
2017-09-11,627.0,627.0,627.0,627.0,10,627.0
2017-09-12,630.0,612.0,630.0,612.0,120,612.0
2017-09-13,632.0,632.0,632.0,632.0,10,632.0
2017-09-14,638.0,636.0,638.0,637.0,330,637.0
2017-09-15,637.0,637.0,637.0,637.0,0,637.0
2017-09-18,637.0,637.0,637.0,637.0,0,637.0
2017-09-19,669.0,656.0,657.0,656.0,1890,656.0
2017-09-20,666.0,666.0,666.0,666.0,100,666.0
2017-09-21,668.0,665.0,668.0,665.0,200,665.0
2017-09-22,665.0,665.0,665.0,665.0,0,665.0
2017-09-25,666.0,664.0,664.0,665.0,310,665.0
2017-09-26,665.0,665.0,665.0,665.0,0,665.0
2017-09-27,645.0,645.0,645.0,645.0,10,645.0
2017-09-28,645.0,645.0,645.0,645.0,0,645.0
2017-09-29,645.0,645.0,645.0,645.0,20,645.0
2017-10-02,645.0,645.0,645.0,645.0,0,645.0
2017-10-03,645.0,645.0,645.0,645.0,0,645.0
2017-10-04,645.0,645.0,645.0,645.0,0,645.0
2017-10-05,645.0,645.0,645.0,645.0,0,645.0
2017-10-06,645.0,645.0,645.0,645.0,0,645.0
